split,model,balancing,pr_auc,threshold,precision_at_threshold,recall_at_threshold,expected_cost,latency_p95_ms,latency_p99_ms
temporal,logistic_regression,class_weight,0.7401680171266926,0.9585057475761061,0.4580152671755725,0.8,0.03783223903655068,0.25139499048236746,0.47278999059926713
temporal,logistic_regression,smote,0.786951955586709,0.9539931320578848,0.5714285714285714,0.8,0.03555001580000702,0.18763002881314594,0.30840801831800474
temporal,lightgbm,class_weight,0.7976234616638468,0.00023193406904579715,0.725,0.7733333333333333,0.03774446121976054,1.1948700150242073,2.0289759658044204
temporal,lightgbm,smote,0.7921621136798789,0.0005707272513308094,0.4645669291338583,0.7866666666666666,0.03967557318914364,1.1982100404566152,1.7966149887070044
temporal,isolation_forest,treinado só com legítimas,0.030988660928002874,0.1093427834541072,0.0,0.0,0.15808784803904358,5.658690011478029,7.3791859997436315
aleatoria,logistic_regression,class_weight,0.7082217871666926,0.9995168391649327,0.6484375,0.8469387755102041,0.03555001580000702,0.16799999575596294,0.2419140370329842
aleatoria,logistic_regression,smote,0.7365350386094776,0.9993923300805863,0.6776859504132231,0.8367346938775511,0.03713001650222956,0.18541501485742629,0.2574180386727676
aleatoria,lightgbm,class_weight,0.860812809506936,2.3467728709887402e-05,0.3522267206477733,0.8877551020408163,0.0372177943190197,1.246180001180619,2.001736991223879
aleatoria,lightgbm,smote,0.8634818462220103,0.004986226059725803,0.4943181818181818,0.8877551020408163,0.0309855693269197,1.5268999821273608,2.4121100298361853
aleatoria,isolation_forest,treinado só com legítimas,0.1253638141654782,-0.07423006641727081,0.08531994981179424,0.6938775510204082,0.12719005652891402,5.906780035002156,6.380005009705198
