,mean_abs_shap
V4,0.7576798987592874
V1,0.49410154074514767
V8,0.49183738857790593
V14,0.49038950612758464
V12,0.4186055129072689
V3,0.39824851885506135
V2,0.292794041626594
V6,0.2885147942711023
Amount,0.2835872456961477
V22,0.2696245390647704
V11,0.26722064570901954
Time,0.2642818249104901
V18,0.2639194995322612
V5,0.24719327237644464
V24,0.24423057934498899
V26,0.2200289442599455
V7,0.20735666774069064
V10,0.20125829924020594
V28,0.19743509966818418
V16,0.19609025903773025
V27,0.16761967228302802
V9,0.1590023352542334
V19,0.15577564686484624
V15,0.1486176872110722
V25,0.1395152931459034
V21,0.13616607710727172
V23,0.12539020760558398
V17,0.10625808119388175
V20,0.09451171631421232
V13,0.08735038631809111
